Symbol
AAPL
MSFT
GOOGL
GOOG
AMZN
BRK.B
UNH
XOM
JNJ
WMT
JPM
CVX
LLY
NVDA
PG
MA
HD
BAC
PFE
ABBV
KO
MRK
PEP
TSLA
COST
ORCL
MCD
TMO
DIS
AVGO
TMUS
CSCO
WFC
DHR
ACN
ABT
BMY
COP
CRM
VZ
LIN
NEE
SCHW
TXN
ADBE
MS
NKE
UPS
AMGN
PM
RTX
HON
CMCSA
LMT
QCOM
LOW
T
NFLX
UNP
CVS
IBM
INTU
DE
MDT
INTC
GS
CAT
AXP
ADP
CI
GILD
PYPL
BLK
AMD
AMT
CB
C
ISRG
SYK
NOC
TJX
MDLZ
GE
BA
NOW
MO
PLD
MMC
REGN
EOG
VRTX
TGT
SPGI
AMAT
PGR
BKNG
ADI
SLB
EL
HUM
DUK
ZTS
MPC
GD
MMM
SO
PNC
FISV
OXY
HCA
BDX
ITW
WM
USB
PXD
CME
BSX
CL
MET
CSX
MRNA
MU
ETN
TFC
MCK
AON
DG
CHTR
SHW
CCI
LRCX
GM
ATVI
D
ORLY
APD
NSC
KDP
PSA
ICE
F
ADM
MAR
EMR
VLO
EQIX
DVN
FIS
MNST
MCO
GIS
HSY
LHX
CNC
SRE
AZO
KLAC
KHC
CTVA
DXCM
FCX
STZ
ADSK
PSX
TRV
EW
AEP
APH
ECL
SNPS
SYY
ROP
HES
CTAS
AIG
PAYX
FDX
MSI
RSG
KMB
CMG
CDNS
ENPH
AFL
KMI
A
BIIB
JCI
COF
IQV
TEL
WMB
PRU
AJG
NXPI
MSCI
TT
EXC
HLT
NUE
PH
ANET
SPG
ILMN
DLTR
O
XEL
EA
KR
YUM
DOW
CMI
MCHP
ALL
BK
ROST
NEM
CSGP
PCAR
PCG
CARR
GPN
AMP
ALB
BF.B
HAL
RMD
ABC
CTSH
KEYS
TDG
ODFL
WBA
ED
CEG
DFS
IDXX
GWW
OTIS
HPQ
AME
ROK
VRSK
DLR
SBAC
MTD
LVS
WEC
DD
PEG
FANG
BKR
FAST
BAX
CPRT
GLW
PPG
STT
DHI
WELL
ON
OKE
AWK
ES
K
LYB
GPC
HRL
TSCO
EBAY
IFF
IT
TSN
CTRA
APTV
HIG
AVB
LEN
FITB
RJF
TROW
ARE
EXR
MRO
ZBH
EQR
CDW
PFG
BR
WY
FTV
URI
EIX
CBRE
ULTA
HBAN
VRSN
DAL
VMC
DTE
MTB
ETR
FRC
LUV
FE
LH
CF
AEE
MKC
MLM
MOH
RF
PAYC
ROL
EFX
IR
CFG
PWR
VICI
MOS
CAH
PPL
EPAM
WRB
SYF
ANSS
INVH
DOV
TDY
XYL
HPE
WAT
MAA
CLX
CNP
CHD
JBHT
LYV
DGX
CAG
DRI
NTRS
AES
WAB
STE
AMCR
HOLX
WST
GRMN
IEX
PKI
MGM
KEY
BRO
EXPD
CMS
CINF
INCY
SJM
LKQ
FOX
FDS
FOXA
CPB
EQT
TRGP
MPWR
VTR
BALL
OMC
BBY
NTAP
HWM
ALGN
ZBRA
FLT
TRMB
TXT
FMC
J
ATO
APA
NVR
JKHY
IRM
ESS
L
LDOS
SWKS
EXPE
EVRG
AKAM
UAL
PTC
AVY
TTWO
RCL
SIVB
COO
HST
TER
TYL
CBOE
KIM
NLOK
LNT
NDSN
IP
SWK
PEAK
RE
LW
CPT
UDR
VTRS
MTCH
POOL
CHRW
SEDG
DPZ
ETSY
SNA
CTLT
CCL
BEN
IPG
GL
TECH
ABMD
PKG
AAP
BXP
MAS
VFC
STX
TAP
NRG
CRL
WDC
BIO
CE
NDAQ
REG
EMN
HII
CDAY
PHM
NWS
NI
TFX
NWSA
KMX
JNPR
LNC
SBNY
HSIC
QRVO
CZR
FTNT
UHS
MKTX
CMA
AAL
ALLE
HAS
WRK
BWA
FFIV
TPR
RHI
AOS
WHR
FBHS
ZION
DISH
FRT
BBWI
PNW
LUMN
WYNN
GNRC
DXC
AIZ
PNR
IVZ
SEE
NCLH
RL
DVA
XRAY
OGN
MHK
NWL
ALK
VNO
